Tree,MC,Timestamp,Port5_Atmos_pressure,Port5_Temp,Port5_VPD,Port5_RH,Port3_VPD,Port3_RH,Port3_Atmos_pressure,Port3_Temp,Port1_Solar,Port4_LW_minutes,Port4_LW_minutes_H,Port4_LWS_Count,Port6_LW_minutes,Port6_LWS_Count,Port6_LW_minutes_H
ET7,MC2,2023-06-01T05:30:00Z,87.66,20.9,0.54,0.782,0.5,0.795,87.74,20.7,0,0,0,449,15,459,13
ET7,MC2,2023-06-01T05:45:00Z,87.67,21.4,0.63,0.752,0.59,0.765,87.76,21.2,4.2,0,0,449,15,463,10
ET7,MC2,2023-06-01T06:00:00Z,87.7,21.4,0.63,0.751,0.59,0.764,87.79,21.2,11.2,0,0,448,15,464,15
ET7,MC2,2023-06-01T06:15:00Z,87.73,21.4,0.63,0.753,0.6,0.762,87.81,21.3,16.5,0,0,448,15,463,15
ET7,MC2,2023-06-01T06:30:00Z,87.75,21.2,0.59,0.766,0.55,0.779,87.83,21,17.6,0,0,448,15,462,15
ET7,MC2,2023-06-01T06:45:00Z,87.76,21.1,0.56,0.776,0.5,0.796,87.85,20.7,23.1,0,0,448,15,462,15
ET7,MC2,2023-06-01T07:00:00Z,87.79,20.8,0.45,0.816,0.38,0.838,87.87,20.2,29.3,0,0,449,15,462,15
ET7,MC2,2023-06-01T07:15:00Z,87.81,20.4,0.35,0.853,0.3,0.869,87.89,19.8,43.4,0,0,449,15,462,15
ET7,MC2,2023-06-01T07:30:00Z,87.82,20.9,0.35,0.857,0.29,0.874,87.91,20,72.3,0,0,449,15,461,15
ET7,MC2,2023-06-01T07:45:00Z,87.83,22.2,0.37,0.863,0.25,0.897,87.92,20.4,84,2,0,451,15,484,15
ET7,MC2,2023-06-01T08:00:00Z,87.84,22.2,0.41,0.847,0.26,0.895,87.93,20.8,144.8,7,0,449,15,458,8
ET7,MC2,2023-06-01T08:15:00Z,87.86,22.4,0.43,0.841,0.32,0.873,87.94,21.2,104,0,0,449,15,459,0
ET7,MC2,2023-06-01T08:30:00Z,87.87,22.4,0.44,0.838,0.28,0.887,87.96,21.2,100.2,0,0,449,15,459,0
ET7,MC2,2023-06-01T08:45:00Z,87.88,22.5,0.45,0.836,0.32,0.872,87.97,21.3,107.1,0,0,449,15,459,0
ET7,MC2,2023-06-01T09:00:00Z,87.89,22.8,0.48,0.826,0.35,0.865,87.98,21.5,121.2,0,0,449,15,459,0
ET7,MC2,2023-06-01T09:15:00Z,87.89,22.3,0.39,0.854,0.33,0.871,87.97,21.6,112.2,0,0,449,15,458,0
ET7,MC2,2023-06-01T09:30:00Z,87.88,22.8,0.48,0.828,0.36,0.863,87.96,21.7,132.6,0,0,448,15,457,0
ET7,MC2,2023-06-01T09:45:00Z,87.87,22.7,0.48,0.826,0.37,0.856,87.95,21.8,100.3,0,0,448,15,458,0
ET7,MC2,2023-06-01T10:00:00Z,87.86,22.8,0.48,0.826,0.38,0.854,87.94,21.9,189.3,0,0,448,15,455,0
ET7,MC2,2023-06-01T10:15:00Z,87.86,23.8,0.59,0.798,0.43,0.84,87.94,22.3,135.3,0,0,448,15,457,0
ET7,MC2,2023-06-01T10:30:00Z,87.84,24.7,0.71,0.772,0.44,0.842,87.93,22.8,133.9,0,0,448,15,456,0
ET7,MC2,2023-06-01T10:45:00Z,87.83,24.8,0.76,0.756,0.53,0.813,87.91,23.1,201.8,0,0,447,15,453,0
ET7,MC2,2023-06-01T11:00:00Z,87.82,24.5,0.76,0.753,0.61,0.79,87.91,23.6,162,0,0,447,15,458,0
ET7,MC2,2023-06-01T11:15:00Z,87.81,24.4,0.7,0.771,0.55,0.807,87.89,23.2,163.3,0,0,448,15,457,0
ET7,MC2,2023-06-01T11:30:00Z,87.8,23.4,0.48,0.832,0.43,0.845,87.88,23,157.7,0,0,448,15,457,0
ET7,MC2,2023-06-01T11:45:00Z,87.8,22.8,0.4,0.857,0.42,0.851,87.87,22.9,66.5,0,0,448,15,459,0
ET7,MC2,2023-06-01T12:00:00Z,87.77,22.5,0.36,0.869,0.37,0.862,87.85,22.3,116.3,0,0,448,15,459,0
ET7,MC2,2023-06-01T12:15:00Z,87.75,23.5,0.42,0.853,0.39,0.859,87.83,22.9,139.2,0,0,448,15,458,0
ET7,MC2,2023-06-01T12:30:00Z,87.73,23.6,0.4,0.861,0.37,0.869,87.81,23.1,169,0,0,447,15,456,0
ET7,MC2,2023-06-01T12:45:00Z,87.71,24.9,0.56,0.822,0.42,0.856,87.8,23.6,104.9,0,0,448,15,457,0
ET7,MC2,2023-06-01T13:00:00Z,87.7,23,0.38,0.865,0.37,0.865,87.78,22.7,107.3,0,0,448,15,457,0
ET7,MC2,2023-06-01T13:15:00Z,87.69,23.5,0.38,0.869,0.34,0.878,87.78,22.6,112.1,0,0,448,15,458,0
ET7,MC2,2023-06-01T13:30:00Z,87.7,22.9,0.32,0.885,0.31,0.886,87.78,22.5,104.9,0,0,449,15,459,0
ET7,MC2,2023-06-01T13:45:00Z,87.67,23.6,0.32,0.891,0.28,0.898,87.75,22.8,169.4,0,0,448,15,456,0
ET7,MC2,2023-06-01T14:00:00Z,87.66,24.1,0.44,0.853,0.32,0.885,87.74,22.8,39.7,8,7,647,15,707,10
ET7,MC2,2023-06-01T14:15:00Z,87.68,21.4,0.22,0.913,0.27,0.897,87.76,21.5,20.5,15,15,816,15,783,15
ET7,MC2,2023-06-01T14:30:00Z,87.67,20.5,0.09,0.964,0.16,0.936,87.75,20.6,38.3,15,15,658,15,579,15
ET7,MC2,2023-06-01T14:45:00Z,87.62,20.5,0.07,0.969,0.13,0.945,87.7,20.4,106.2,15,15,575,15,466,15
ET7,MC2,2023-06-01T15:00:00Z,87.59,21.3,0.1,0.959,0.14,0.943,87.67,20.9,117.4,15,15,497,15,463,15
ET7,MC2,2023-06-01T15:15:00Z,87.62,21.5,0.13,0.948,0.17,0.932,87.7,21.3,108.4,15,15,477,15,462,15
ET7,MC2,2023-06-01T15:30:00Z,87.61,22,0.16,0.939,0.16,0.939,87.69,21.4,127.6,15,15,466,15,461,15
ET7,MC2,2023-06-01T15:45:00Z,87.61,22,0.25,0.905,0.24,0.907,87.7,21.7,159.3,15,12,459,15,459,0
ET7,MC2,2023-06-01T16:00:00Z,87.62,21.9,0.26,0.901,0.27,0.897,87.7,21.6,117.4,15,1,455,15,464,5
ET7,MC2,2023-06-01T16:15:00Z,87.62,21.6,0.23,0.912,0.25,0.901,87.7,21.4,39,15,7,623,15,603,9
ET7,MC2,2023-06-01T16:30:00Z,87.62,20.6,0.14,0.944,0.2,0.919,87.7,20.7,14.8,15,15,544,15,542,15
ET7,MC2,2023-06-01T16:45:00Z,87.61,20.1,0.11,0.952,0.17,0.929,87.69,20.2,23.6,15,15,527,15,521,15
ET7,MC2,2023-06-01T17:00:00Z,87.59,20.2,0.12,0.949,0.17,0.929,87.68,20.1,29.5,15,15,497,15,468,15
ET7,MC2,2023-06-01T17:15:00Z,87.58,20.1,0.09,0.962,0.14,0.939,87.66,20.1,17.6,15,15,490,15,464,15
ET7,MC2,2023-06-01T17:30:00Z,87.6,20.3,0.12,0.948,0.17,0.93,87.68,20.3,9.9,15,15,491,15,463,15
ET7,MC2,2023-06-01T17:45:00Z,87.64,20.2,0.11,0.955,0.16,0.933,87.72,20.2,3.8,15,15,487,15,465,15
ET7,MC2,2023-06-01T18:00:00Z,87.66,20.1,0.08,0.964,0.14,0.94,87.74,20.1,0,15,15,484,15,464,15
ET7,MC2,2023-06-01T18:15:00Z,87.67,19.9,0.07,0.972,0.12,0.948,87.75,19.9,0,15,15,479,15,465,15
ET7,MC2,2023-06-01T18:30:00Z,87.67,19.7,0.06,0.974,0.11,0.95,87.75,19.8,0,15,15,476,15,465,15
ET7,MC2,2023-06-01T18:45:00Z,87.68,19.8,0.08,0.967,0.13,0.944,87.76,19.9,0,15,15,481,15,462,15
ET7,MC2,2023-06-01T19:00:00Z,87.7,19.8,0.08,0.965,0.14,0.941,87.79,19.9,0,15,15,469,15,462,15
ET7,MC2,2023-06-01T19:15:00Z,87.73,19.8,0.08,0.964,0.14,0.939,87.82,19.9,0,15,15,460,15,463,15
ET7,MC2,2023-06-01T19:30:00Z,87.74,20,0.09,0.961,0.15,0.937,87.82,20,0,15,2,462,15,476,15
ET7,MC2,2023-06-01T19:45:00Z,87.74,20,0.07,0.971,0.13,0.944,87.83,20,0,15,15,488,15,552,15
ET7,MC2,2023-06-01T20:00:00Z,87.76,20,0.06,0.975,0.12,0.948,87.84,20,0,15,15,520,15,592,15
ET7,MC2,2023-06-01T20:15:00Z,87.76,19.9,0.06,0.976,0.12,0.95,87.85,20,0,15,15,556,15,668,15
ET7,MC2,2023-06-01T20:30:00Z,87.79,19.8,0.05,0.976,0.12,0.95,87.87,19.9,0,15,15,573,15,634,15
ET7,MC2,2023-06-01T20:45:00Z,87.81,19.7,0.04,0.984,0.1,0.955,87.9,19.8,0,15,15,592,15,745,15
ET7,MC2,2023-06-01T21:00:00Z,87.81,19.7,0.02,0.99,0.09,0.96,87.9,19.8,0,15,15,625,15,580,15
ET7,MC2,2023-06-01T21:15:00Z,87.81,19.7,0.03,0.988,0.1,0.958,87.89,19.8,0,15,15,583,15,560,15
ET7,MC2,2023-06-01T21:30:00Z,87.82,19.8,0.03,0.988,0.09,0.96,87.91,19.8,0,15,15,596,15,553,15
ET7,MC2,2023-06-01T21:45:00Z,87.84,19.8,0.04,0.981,0.1,0.957,87.92,19.8,0,15,15,704,15,680,15
ET7,MC2,2023-06-01T22:00:00Z,87.85,19.4,0.02,0.991,0.08,0.964,87.93,19.5,0,15,15,581,15,527,15
ET7,MC2,2023-06-01T22:15:00Z,87.86,19.4,0.03,0.987,0.08,0.964,87.94,19.3,0,15,15,529,15,477,15
ET7,MC2,2023-06-01T22:30:00Z,87.85,19.3,0.03,0.987,0.08,0.964,87.93,19.4,0,15,15,540,15,476,15
ET7,MC2,2023-06-01T22:45:00Z,87.83,19.4,0.02,0.99,0.07,0.969,87.91,19.3,0,15,15,570,15,528,15
ET7,MC2,2023-06-01T23:00:00Z,87.82,19.6,0.03,0.987,0.07,0.97,87.91,19.4,0,15,15,600,15,562,15
ET7,MC2,2023-06-01T23:15:00Z,87.81,19.6,0.04,0.984,0.08,0.966,87.9,19.6,0,15,15,561,15,552,15
ET7,MC2,2023-06-01T23:30:00Z,87.79,19.4,0.04,0.983,0.08,0.963,87.87,19.4,0,15,15,538,15,537,15
ET7,MC2,2023-06-01T23:45:00Z,87.79,19.2,0.03,0.987,0.08,0.963,87.87,19.2,0,15,15,532,15,506,15
ET7,MC2,2023-06-02T00:00:00Z,87.78,19.1,0.05,0.979,0.09,0.96,87.87,19,0,15,15,503,15,460,15
ET7,MC2,2023-06-02T00:15:00Z,87.78,19.2,0.04,0.98,0.09,0.961,87.86,19.2,0,15,15,488,15,463,8
ET7,MC2,2023-06-02T00:30:00Z,87.75,19.4,0.04,0.981,0.09,0.96,87.83,19.4,0,15,15,479,15,458,1
ET7,MC2,2023-06-02T00:45:00Z,87.74,19.6,0.06,0.975,0.09,0.959,87.82,19.5,0,15,15,472,15,457,0
ET7,MC2,2023-06-02T01:00:00Z,87.71,19.8,0.09,0.963,0.12,0.948,87.79,19.6,0,15,15,470,15,457,1
ET7,MC2,2023-06-02T01:15:00Z,87.67,19.5,0.08,0.964,0.13,0.943,87.75,19.6,0,15,15,464,15,456,0
ET7,MC2,2023-06-02T01:30:00Z,87.65,19.4,0.07,0.969,0.13,0.945,87.73,19.5,0,15,15,461,15,458,0
ET7,MC2,2023-06-02T01:45:00Z,87.64,19.4,0.04,0.982,0.1,0.955,87.72,19.4,0,15,14,460,15,463,15
ET7,MC2,2023-06-02T02:00:00Z,87.62,19.4,0.05,0.977,0.11,0.952,87.7,19.5,0,15,1,456,15,457,6
ET7,MC2,2023-06-02T02:15:00Z,87.6,19.8,0.11,0.952,0.16,0.933,87.68,19.8,0,15,0,452,15,456,0
ET7,MC2,2023-06-02T02:30:00Z,87.6,19.8,0.13,0.945,0.18,0.923,87.68,19.9,0,15,0,452,15,458,0
ET7,MC2,2023-06-02T02:45:00Z,87.6,19.6,0.09,0.959,0.15,0.935,87.68,19.7,0,15,0,452,15,457,1
ET7,MC2,2023-06-02T03:00:00Z,87.59,19.7,0.12,0.949,0.16,0.931,87.67,19.6,0,15,0,452,15,457,0
ET7,MC2,2023-06-02T03:15:00Z,87.59,19.6,0.12,0.946,0.17,0.925,87.67,19.7,0,15,0,452,15,456,0
ET7,MC2,2023-06-02T03:30:00Z,87.58,19.7,0.14,0.94,0.18,0.92,87.66,19.7,0,15,0,452,15,456,0
ET7,MC2,2023-06-02T03:45:00Z,87.58,19.6,0.14,0.939,0.19,0.918,87.66,19.7,0,15,0,452,15,456,0
ET7,MC2,2023-06-02T04:00:00Z,87.59,19.6,0.14,0.939,0.19,0.917,87.67,19.6,0,15,0,452,15,456,0
ET7,MC2,2023-06-02T04:15:00Z,87.6,19.6,0.16,0.932,0.2,0.914,87.68,19.7,0,15,0,451,15,456,0
ET7,MC2,2023-06-02T04:30:00Z,87.59,19.9,0.19,0.917,0.23,0.902,87.67,19.9,0,15,0,451,15,456,0
ET7,MC2,2023-06-02T04:45:00Z,87.6,19.9,0.2,0.915,0.24,0.898,87.68,19.9,0,15,0,451,15,456,0
ET7,MC2,2023-06-02T05:00:00Z,87.61,19.9,0.19,0.918,0.24,0.899,87.69,19.9,0,15,0,452,15,456,3
ET7,MC2,2023-06-02T05:15:00Z,87.62,20,0.19,0.919,0.24,0.899,87.7,20.1,0,15,0,451,15,456,0
ET7,MC2,2023-06-02T05:30:00Z,87.63,19.9,0.17,0.926,0.21,0.908,87.71,19.9,0,15,0,451,15,456,0
ET7,MC2,2023-06-02T05:45:00Z,87.65,19.8,0.17,0.926,0.21,0.908,87.73,19.8,5.9,15,0,451,15,456,0
ET7,MC2,2023-06-02T06:00:00Z,87.67,20,0.2,0.913,0.25,0.894,87.75,20,11.9,15,0,451,15,455,0
ET7,MC2,2023-06-02T06:15:00Z,87.69,20.2,0.23,0.904,0.26,0.888,87.77,20.2,18.7,15,0,451,15,455,0
ET7,MC2,2023-06-02T06:30:00Z,87.7,20,0.18,0.921,0.22,0.905,87.79,19.9,20.3,15,0,451,15,455,0
ET7,MC2,2023-06-02T06:45:00Z,87.72,20,0.21,0.911,0.25,0.895,87.8,20,14.5,15,3,479,15,559,2
ET7,MC2,2023-06-02T07:00:00Z,87.74,19.8,0.18,0.921,0.24,0.897,87.82,19.8,9.9,15,15,605,15,696,15
ET7,MC2,2023-06-02T07:15:00Z,87.75,19.3,0.12,0.946,0.19,0.917,87.83,19.4,7.5,15,15,635,15,645,15
ET7,MC2,2023-06-02T07:30:00Z,87.75,18.8,0.09,0.959,0.16,0.929,87.83,19,6.6,15,15,619,15,620,15
ET7,MC2,2023-06-02T07:45:00Z,87.75,18.9,0.09,0.96,0.15,0.93,87.83,19,7.3,15,15,607,15,618,15
ET7,MC2,2023-06-02T08:00:00Z,87.75,19.2,0.1,0.957,0.15,0.932,87.83,19.2,10.1,15,15,642,15,605,15
ET7,MC2,2023-06-02T08:15:00Z,87.76,19.4,0.1,0.954,0.16,0.931,87.84,19.4,12.6,15,15,615,15,593,15
ET7,MC2,2023-06-02T08:30:00Z,87.76,19.6,0.09,0.96,0.15,0.933,87.85,19.6,15.6,15,15,610,15,578,15
ET7,MC2,2023-06-02T08:45:00Z,87.77,19.6,0.09,0.958,0.15,0.934,87.85,19.7,20.1,15,15,597,15,574,15
ET7,MC2,2023-06-02T09:00:00Z,87.77,19.7,0.11,0.954,0.16,0.93,87.86,19.7,25.5,15,15,640,15,588,15
ET7,MC2,2023-06-02T09:15:00Z,87.77,19.9,0.11,0.952,0.16,0.933,87.85,19.8,34.2,15,15,578,15,569,15
ET7,MC2,2023-06-02T09:30:00Z,87.75,20.1,0.13,0.943,0.18,0.923,87.83,20,48.7,15,15,549,15,522,15
ET7,MC2,2023-06-02T09:45:00Z,87.73,20.6,0.21,0.913,0.23,0.903,87.81,20.3,72,15,15,492,15,460,11
ET7,MC2,2023-06-02T10:00:00Z,87.71,21.1,0.27,0.891,0.28,0.886,87.8,20.8,79.5,15,15,479,15,454,0
ET7,MC2,2023-06-02T10:15:00Z,87.7,21.6,0.31,0.88,0.3,0.88,87.78,21.1,86.4,15,15,468,15,455,0
ET7,MC2,2023-06-02T10:30:00Z,87.69,21.8,0.35,0.867,0.32,0.873,87.77,21.4,112.4,15,15,461,15,457,0
ET7,MC2,2023-06-02T10:45:00Z,87.7,21.8,0.3,0.887,0.28,0.889,87.79,21.4,142.5,15,5,453,15,453,0
ET7,MC2,2023-06-02T11:00:00Z,87.71,22.5,0.31,0.885,0.26,0.898,87.79,21.6,157.8,15,0,450,15,451,0
ET7,MC2,2023-06-02T11:15:00Z,87.7,23.3,0.4,0.86,0.28,0.895,87.79,21.9,183.8,10,0,450,6,450,0
ET7,MC2,2023-06-02T11:30:00Z,87.7,23.4,0.41,0.856,0.31,0.885,87.78,22.3,178.5,0,0,450,4,450,0
ET7,MC2,2023-06-02T11:45:00Z,87.69,23.9,0.45,0.849,0.31,0.887,87.77,22.6,225.8,0,0,449,3,449,0
ET7,MC2,2023-06-02T12:00:00Z,87.65,24.6,0.62,0.798,0.42,0.85,87.74,22.9,265.9,0,0,448,0,447,0
ET7,MC2,2023-06-02T12:15:00Z,87.63,24.3,0.62,0.795,0.45,0.838,87.71,23,210.6,0,0,448,0,448,0
ET7,MC2,2023-06-02T12:30:00Z,87.63,24.3,0.63,0.794,0.48,0.831,87.71,23,282.3,0,0,447,0,447,0
ET7,MC2,2023-06-02T12:45:00Z,87.62,24.6,0.65,0.788,0.47,0.835,87.7,23.2,271.5,0,0,447,0,446,0
ET7,MC2,2023-06-02T13:00:00Z,87.61,23.7,0.56,0.809,0.42,0.847,87.69,22.6,226.3,0,0,448,0,448,0
ET7,MC2,2023-06-02T13:15:00Z,87.59,23.7,0.52,0.821,0.41,0.85,87.67,22.7,182.6,0,0,448,0,448,0
ET7,MC2,2023-06-02T13:30:00Z,87.57,23.2,0.48,0.832,0.39,0.855,87.65,22.4,131.3,0,0,448,0,449,0
ET7,MC2,2023-06-02T13:45:00Z,87.55,22.6,0.41,0.852,0.36,0.864,87.63,22,117.2,0,0,449,5,450,0
ET7,MC2,2023-06-02T14:00:00Z,87.54,22.3,0.39,0.854,0.35,0.867,87.62,21.7,121.2,0,0,449,15,458,0
ET7,MC2,2023-06-02T14:15:00Z,87.52,22.6,0.41,0.849,0.37,0.859,87.6,22,189.1,0,0,448,15,455,0
ET7,MC2,2023-06-02T14:30:00Z,87.51,23.5,0.54,0.812,0.44,0.838,87.59,22.5,233.5,0,0,447,15,454,0
ET7,MC2,2023-06-02T14:45:00Z,87.48,24,0.61,0.795,0.48,0.829,87.56,22.9,182,0,0,448,11,449,0
ET7,MC2,2023-06-02T15:00:00Z,87.46,25.2,0.78,0.756,0.57,0.804,87.54,23.6,160,0,0,446,0,445,0
ET7,MC2,2023-06-02T15:15:00Z,87.45,26,0.99,0.706,0.68,0.774,87.53,24.1,121.9,0,0,447,0,446,0
ET7,MC2,2023-06-02T15:30:00Z,87.45,25.4,0.95,0.707,0.72,0.762,87.53,24.1,207.8,0,0,445,0,446,0
ET7,MC2,2023-06-02T15:45:00Z,87.45,24.5,0.89,0.71,0.81,0.731,87.53,24.2,453.2,0,0,443,0,447,0
ET7,MC2,2023-06-02T16:00:00Z,87.46,24,0.8,0.732,0.79,0.735,87.54,24.1,376.1,0,0,444,0,447,0
ET7,MC2,2023-06-02T16:15:00Z,87.47,23.8,0.69,0.766,0.67,0.77,87.55,23.7,172.7,0,0,446,0,449,0
ET7,MC2,2023-06-02T16:30:00Z,87.48,23.2,0.58,0.796,0.55,0.805,87.56,23,88.4,0,0,447,0,449,0
ET7,MC2,2023-06-02T16:45:00Z,87.48,22.6,0.5,0.816,0.5,0.817,87.56,22.5,27.5,0,0,448,9,450,0
ET7,MC2,2023-06-02T17:00:00Z,87.49,22,0.43,0.839,0.43,0.836,87.57,21.9,29.3,0,0,448,15,451,0
ET7,MC2,2023-06-02T17:15:00Z,87.5,21.7,0.41,0.841,0.42,0.837,87.58,21.7,23.1,0,0,448,15,451,0
ET7,MC2,2023-06-02T17:30:00Z,87.5,21.8,0.5,0.809,0.5,0.807,87.58,21.8,19.2,0,0,448,15,450,0
ET7,MC2,2023-06-02T17:45:00Z,87.52,21.7,0.52,0.799,0.53,0.798,87.6,21.8,12.5,0,0,448,15,451,0
ET7,MC2,2023-06-02T18:00:00Z,87.53,21.6,0.49,0.809,0.5,0.807,87.61,21.6,5.1,0,0,448,15,451,0
ET7,MC2,2023-06-02T18:15:00Z,87.55,21.6,0.48,0.814,0.48,0.813,87.63,21.5,0,0,0,448,15,451,0
ET7,MC2,2023-06-02T18:30:00Z,87.56,21.4,0.48,0.812,0.48,0.811,87.64,21.5,0,0,0,448,15,451,0
ET7,MC2,2023-06-02T18:45:00Z,87.58,21.3,0.51,0.8,0.49,0.804,87.66,21.3,0,0,0,448,15,451,0
ET7,MC2,2023-06-02T19:00:00Z,87.59,21.3,0.57,0.777,0.54,0.785,87.67,21.2,0,0,0,448,15,451,0
ET7,MC2,2023-06-02T19:15:00Z,87.62,21,0.48,0.806,0.46,0.814,87.7,20.8,0,0,0,448,15,452,0
ET7,MC2,2023-06-02T19:30:00Z,87.63,20.3,0.41,0.829,0.38,0.84,87.71,20.1,0,0,0,448,15,452,0
